"Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus"
"279","201211020ATL","ATL","Josh Smith","smithjo03","41:33:00",9,21,0.429,0,1,0,0,0,NA,1,9,10,2,0,3,3,2,18,-7
"280","201211020ATL","ATL","Al Horford","horfoal01","37:28:00",6,10,0.6,0,0,NA,2,2,1,0,5,5,3,1,0,2,1,14,-11
"281","201211020ATL","ATL","Jeff Teague","teaguje01","27:01:00",6,10,0.6,0,0,NA,2,2,1,0,1,1,7,2,1,4,4,14,-10
"282","201211020ATL","ATL","Devin Harris","harride01","21:41",4,10,0.4,1,5,0.2,0,0,NA,0,2,2,2,2,0,1,0,9,-5
"283","201211020ATL","ATL","Kyle Korver","korveky01","14:45",0,3,0,0,2,0,0,0,NA,0,2,2,2,2,0,0,5,0,-6
"284","201211020ATL","ATL","Louis Williams","willilo02","30:38:00",7,17,0.412,2,5,0.4,6,7,0.857,0,4,4,5,3,0,3,2,22,4
"285","201211020ATL","ATL","DeShawn Stevenson","stevede01","28:59:00",4,6,0.667,4,6,0.667,0,0,NA,1,1,2,1,2,0,0,6,12,2
"286","201211020ATL","ATL","Zaza Pachulia","pachuza01","21:51",4,5,0.8,0,0,NA,5,6,0.833,5,3,8,1,0,0,0,4,13,-3
"287","201211020ATL","ATL","Anthony Tolliver","tollian01","16:05",0,3,0,0,3,0,0,0,NA,0,2,2,0,0,0,0,2,0,1
"288","201211020BOS","MIL","Monta Ellis","ellismo01","36:33:00",6,20,0.3,2,6,0.333,0,0,NA,1,2,3,4,0,0,2,1,14,12
"289","201211020BOS","MIL","Tobias Harris","harrito02","32:53:00",8,11,0.727,2,2,1,0,0,NA,0,6,6,2,0,1,3,1,18,9
"290","201211020BOS","MIL","Brandon Jennings","jennibr01","28:35:00",9,17,0.529,1,3,0.333,2,3,0.667,0,2,2,13,6,0,2,2,21,12
"291","201211020BOS","MIL","Ersan Ilyasova","ilyaser01","25:20:00",3,7,0.429,1,1,1,0,0,NA,4,7,11,1,1,0,2,4,7,10
"292","201211020BOS","MIL","Samuel Dalembert","dalemsa01","15:28",1,1,1,0,0,NA,0,0,NA,1,2,3,1,0,0,1,1,2,6
"293","201211020BOS","MIL","Ekpe Udoh","udohek01","23:21",3,5,0.6,0,0,NA,4,4,1,2,1,3,1,2,2,1,1,10,7
"294","201211020BOS","MIL","Mike Dunleavy","dunlemi02","22:41",2,5,0.4,1,1,1,2,2,1,1,5,6,2,2,0,2,0,7,10
"295","201211020BOS","MIL","Larry Sanders","sandela01","21:40",5,7,0.714,0,0,NA,0,0,NA,2,5,7,0,0,2,1,5,10,0
"296","201211020BOS","MIL","Beno Udrih","udrihbe01","21:15",3,6,0.5,1,3,0.333,3,3,1,0,5,5,2,0,0,3,1,10,2
"297","201211020BOS","MIL","Marquis Daniels","daniema01","9:37",0,5,0,0,2,0,0,0,NA,0,0,0,0,1,0,1,1,0,-4
"298","201211020BOS","MIL","Doron Lamb","lambdo01","2:37",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-9
"299","201211020BOS","BOS","Rajon Rondo","rondora01","40:30:00",6,12,0.5,0,1,0,2,4,0.5,0,4,4,11,3,0,2,3,14,-14
"300","201211020BOS","BOS","Courtney Lee","leeco01","32:59:00",3,7,0.429,1,3,0.333,0,0,NA,1,1,2,1,1,0,3,2,7,-14
"301","201211020BOS","BOS","Paul Pierce","piercpa01","27:47:00",3,11,0.273,1,3,0.333,4,4,1,0,6,6,2,0,0,4,3,11,-9
"302","201211020BOS","BOS","Brandon Bass","bassbr01","26:55:00",3,6,0.5,0,1,0,4,4,1,1,5,6,3,1,0,1,0,10,-13
